tahun,nama_kota,nama_kecamatan,nama_kelurahan,jenis_kelamin,wilayah,jumlah
2018,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,Laki-Laki,JAKARTA,63
2018,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,Laki-Laki,JAKARTA,39
2018,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,Laki-Laki,JAKARTA,22
2018,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,Laki-Laki,JAKARTA,15
2018,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,Laki-Laki,JAKARTA,56
2018,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,Laki-Laki,JAKARTA,30
2018,JAKARTA PUSAT,GAMBIR,GAMBIR,Laki-Laki,JAKARTA,7
2018,JAKARTA PUSAT,GAMBIR,CIDENG,Laki-Laki,JAKARTA,80
2018,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Laki-Laki,JAKARTA,102
2018,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Laki-Laki,JAKARTA,76
2018,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Laki-Laki,JAKARTA,51
2018,JAKARTA PUSAT,GAMBIR,DURI PULO,Laki-Laki,JAKARTA,110
2018,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Laki-Laki,JAKARTA,47
2018,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Laki-Laki,JAKARTA,162
2018,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Laki-Laki,JAKARTA,130
2018,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Laki-Laki,JAKARTA,77
2018,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Laki-Laki,JAKARTA,173
2018,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Laki-Laki,JAKARTA,115
2018,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Laki-Laki,JAKARTA,220
2018,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Laki-Laki,JAKARTA,169
2018,JAKARTA PUSAT,KEMAYORAN,SERDANG,Laki-Laki,JAKARTA,188
2018,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Laki-Laki,JAKARTA,111
2018,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Laki-Laki,JAKARTA,211
2018,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Laki-Laki,JAKARTA,143
2018,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Laki-Laki,JAKARTA,220
2018,JAKARTA PUSAT,SENEN,SENEN,Laki-Laki,JAKARTA,38
2018,JAKARTA PUSAT,SENEN,KENARI,Laki-Laki,JAKARTA,45
2018,JAKARTA PUSAT,SENEN,PASEBAN,Laki-Laki,JAKARTA,151
2018,JAKARTA PUSAT,SENEN,KRAMAT,Laki-Laki,JAKARTA,160
2018,JAKARTA PUSAT,SENEN,KWITANG,Laki-Laki,JAKARTA,125
2018,JAKARTA PUSAT,SENEN,BUNGUR,Laki-Laki,JAKARTA,130
2018,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Laki-Laki,JAKARTA,130
2018,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Laki-Laki,JAKARTA,227
2018,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Laki-Laki,JAKARTA,151
2018,JAKARTA PUSAT,MENTENG,MENTENG,Laki-Laki,JAKARTA,166
2018,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Laki-Laki,JAKARTA,131
2018,JAKARTA PUSAT,MENTENG,CIKINI,Laki-Laki,JAKARTA,51
2018,JAKARTA PUSAT,MENTENG,GONDANGDIA,Laki-Laki,JAKARTA,24
2018,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Laki-Laki,JAKARTA,72
2018,JAKARTA PUSAT,TANAH ABANG,GELORA,Laki-Laki,JAKARTA,21
2018,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Laki-Laki,JAKARTA,121
2018,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Laki-Laki,JAKARTA,134
2018,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Laki-Laki,JAKARTA,237
2018,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Laki-Laki,JAKARTA,221
2018,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Laki-Laki,JAKARTA,153
2018,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Laki-Laki,JAKARTA,73
2018,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Laki-Laki,JAKARTA,237
2018,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Laki-Laki,JAKARTA,152
2018,JAKARTA PUSAT,JOHAR BARU,GALUR,Laki-Laki,JAKARTA,125
2018,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Laki-Laki,JAKARTA,270
2018,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,Laki-Laki,JAKARTA,603
2018,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,Laki-Laki,JAKARTA,96
2018,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,Laki-Laki,JAKARTA,273
2018,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,Laki-Laki,JAKARTA,435
2018,JAKARTA UTARA,PENJARINGAN,PLUIT,Laki-Laki,JAKARTA,281
2018,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,Laki-Laki,JAKARTA,246
2018,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,Laki-Laki,JAKARTA,422
2018,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,Laki-Laki,JAKARTA,323
2018,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,Laki-Laki,JAKARTA,226
2018,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,Laki-Laki,JAKARTA,403
2018,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,Laki-Laki,JAKARTA,421
2018,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,Laki-Laki,JAKARTA,357
2018,JAKARTA UTARA,KOJA,KOJA,Laki-Laki,JAKARTA,236
2018,JAKARTA UTARA,KOJA,TUGU UTARA,Laki-Laki,JAKARTA,640
2018,JAKARTA UTARA,KOJA,LAGOA,Laki-Laki,JAKARTA,533
2018,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,Laki-Laki,JAKARTA,310
2018,JAKARTA UTARA,KOJA,TUGU SELATAN,Laki-Laki,JAKARTA,342
2018,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,Laki-Laki,JAKARTA,401
2018,JAKARTA UTARA,CILINCING,CILINCING,Laki-Laki,JAKARTA,452
2018,JAKARTA UTARA,CILINCING,SUKAPURA,Laki-Laki,JAKARTA,434
2018,JAKARTA UTARA,CILINCING,MARUNDA,Laki-Laki,JAKARTA,263
2018,JAKARTA UTARA,CILINCING,KALI BARU,Laki-Laki,JAKARTA,700
2018,JAKARTA UTARA,CILINCING,SEMPER TIMUR,Laki-Laki,JAKARTA,315
2018,JAKARTA UTARA,CILINCING,ROROTAN,Laki-Laki,JAKARTA,375
2018,JAKARTA UTARA,CILINCING,SEMPER BARAT,Laki-Laki,JAKARTA,612
2018,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,Laki-Laki,JAKARTA,236
2018,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,Laki-Laki,JAKARTA,536
2018,JAKARTA UTARA,PADEMANGAN,ANCOL,Laki-Laki,JAKARTA,161
2018,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,Laki-Laki,JAKARTA,179
2018,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,Laki-Laki,JAKARTA,291
2018,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,Laki-Laki,JAKARTA,187
2018,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,Laki-Laki,JAKARTA,446
2018,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,Laki-Laki,JAKARTA,595
2018,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,Laki-Laki,JAKARTA,496
2018,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,Laki-Laki,JAKARTA,232
2018,JAKARTA BARAT,CENGKARENG,KAPUK,Laki-Laki,JAKARTA,1091
2018,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,Laki-Laki,JAKARTA,616
2018,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,Laki-Laki,JAKARTA,86
2018,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,Laki-Laki,JAKARTA,102
2018,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,Laki-Laki,JAKARTA,163
2018,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,Laki-Laki,JAKARTA,155
2018,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,Laki-Laki,JAKARTA,134
2018,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,Laki-Laki,JAKARTA,210
2018,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,Laki-Laki,JAKARTA,242
2018,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,Laki-Laki,JAKARTA,74
2018,JAKARTA BARAT,TAMAN SARI,KRUKUT,Laki-Laki,JAKARTA,127
2018,JAKARTA BARAT,TAMAN SARI,MAPHAR,Laki-Laki,JAKARTA,83
2018,JAKARTA BARAT,TAMAN SARI,TANGKI,Laki-Laki,JAKARTA,69
2018,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,Laki-Laki,JAKARTA,44
2018,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,Laki-Laki,JAKARTA,110
2018,JAKARTA BARAT,TAMAN SARI,GLODOK,Laki-Laki,JAKARTA,35
2018,JAKARTA BARAT,TAMAN SARI,PINANGSIA,Laki-Laki,JAKARTA,61
2018,JAKARTA BARAT,TAMBORA,TAMBORA,Laki-Laki,JAKARTA,68
2018,JAKARTA BARAT,TAMBORA,KALI ANYAR,Laki-Laki,JAKARTA,185
2018,JAKARTA BARAT,TAMBORA,DURI UTARA,Laki-Laki,JAKARTA,125
2018,JAKARTA BARAT,TAMBORA,TANAH SEREAL,Laki-Laki,JAKARTA,185
2018,JAKARTA BARAT,TAMBORA,KERENDANG,Laki-Laki,JAKARTA,144
2018,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,Laki-Laki,JAKARTA,234
2018,JAKARTA BARAT,TAMBORA,ANGKE,Laki-Laki,JAKARTA,202
2018,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,Laki-Laki,JAKARTA,137
2018,JAKARTA BARAT,TAMBORA,PEKOJAN,Laki-Laki,JAKARTA,132
2018,JAKARTA BARAT,TAMBORA,ROA MALAKA,Laki-Laki,JAKARTA,13
2018,JAKARTA BARAT,TAMBORA,DURI SELATAN,Laki-Laki,JAKARTA,93
2018,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,Laki-Laki,JAKARTA,390
