tahun,nama_kota,nama_kecamatan,nama_kelurahan,jenis_kelamin,wilayah,jumlah
2017,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,Laki-Laki,JAKARTA,43
2017,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,Laki-Laki,JAKARTA,76
2017,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,Laki-Laki,JAKARTA,16
2017,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,Laki-Laki,JAKARTA,13
2017,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,Laki-Laki,JAKARTA,34
2017,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,Laki-Laki,JAKARTA,18
2017,JAKARTA PUSAT,GAMBIR,GAMBIR,Laki-Laki,JAKARTA,10
2017,JAKARTA PUSAT,GAMBIR,CIDENG,Laki-Laki,JAKARTA,70
2017,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Laki-Laki,JAKARTA,88
2017,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Laki-Laki,JAKARTA,93
2017,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Laki-Laki,JAKARTA,36
2017,JAKARTA PUSAT,GAMBIR,DURI PULO,Laki-Laki,JAKARTA,108
2017,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Laki-Laki,JAKARTA,39
2017,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Laki-Laki,JAKARTA,168
2017,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Laki-Laki,JAKARTA,118
2017,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Laki-Laki,JAKARTA,80
2017,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Laki-Laki,JAKARTA,177
2017,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Laki-Laki,JAKARTA,132
2017,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Laki-Laki,JAKARTA,189
2017,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Laki-Laki,JAKARTA,171
2017,JAKARTA PUSAT,KEMAYORAN,SERDANG,Laki-Laki,JAKARTA,192
2017,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Laki-Laki,JAKARTA,123
2017,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Laki-Laki,JAKARTA,242
2017,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Laki-Laki,JAKARTA,132
2017,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Laki-Laki,JAKARTA,208
2017,JAKARTA PUSAT,SENEN,SENEN,Laki-Laki,JAKARTA,34
2017,JAKARTA PUSAT,SENEN,KENARI,Laki-Laki,JAKARTA,57
2017,JAKARTA PUSAT,SENEN,PASEBAN,Laki-Laki,JAKARTA,129
2017,JAKARTA PUSAT,SENEN,KRAMAT,Laki-Laki,JAKARTA,167
2017,JAKARTA PUSAT,SENEN,KWITANG,Laki-Laki,JAKARTA,87
2017,JAKARTA PUSAT,SENEN,BUNGUR,Laki-Laki,JAKARTA,124
2017,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Laki-Laki,JAKARTA,118
2017,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Laki-Laki,JAKARTA,214
2017,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Laki-Laki,JAKARTA,139
2017,JAKARTA PUSAT,MENTENG,MENTENG,Laki-Laki,JAKARTA,136
2017,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Laki-Laki,JAKARTA,156
2017,JAKARTA PUSAT,MENTENG,CIKINI,Laki-Laki,JAKARTA,44
2017,JAKARTA PUSAT,MENTENG,GONDANGDIA,Laki-Laki,JAKARTA,16
2017,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Laki-Laki,JAKARTA,56
2017,JAKARTA PUSAT,TANAH ABANG,GELORA,Laki-Laki,JAKARTA,19
2017,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Laki-Laki,JAKARTA,121
2017,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Laki-Laki,JAKARTA,138
2017,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Laki-Laki,JAKARTA,235
2017,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Laki-Laki,JAKARTA,157
2017,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Laki-Laki,JAKARTA,122
2017,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Laki-Laki,JAKARTA,66
2017,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Laki-Laki,JAKARTA,226
2017,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Laki-Laki,JAKARTA,143
2017,JAKARTA PUSAT,JOHAR BARU,GALUR,Laki-Laki,JAKARTA,133
2017,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Laki-Laki,JAKARTA,257
2017,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,Laki-Laki,JAKARTA,693
2017,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,Laki-Laki,JAKARTA,92
2017,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,Laki-Laki,JAKARTA,218
2017,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,Laki-Laki,JAKARTA,492
2017,JAKARTA UTARA,PENJARINGAN,PLUIT,Laki-Laki,JAKARTA,276
2017,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,Laki-Laki,JAKARTA,257
